1,Melocotones,1,25505.0,19.0,30351.0
2,Manzanas,3,18108.0,19.0,21549.0
3,Plátanos,4,29681.0,19.0,35320.0
4,Lechuga,3,29788.0,19.0,35448.0
5,Tomates,1,12739.0,19.0,15159.0
6,Calabaza,1,21315.0,19.0,25365.0
7,Apio,2,19249.0,19.0,22906.0
8,Pepino,2,10958.0,19.0,13040.0
9,Champiñones,2,11046.0,19.0,13145.0
10,Leche,5,21150.0,19.0,25169.0
11,Queso,5,26571.0,19.0,31619.0
12,Huevos,2,12445.0,19.0,14810.0
13,Requesón,1,14329.0,19.0,17052.0
14,Crema agria,1,14856.0,19.0,17679.0
15,Yogur,5,14941.0,19.0,17780.0
16,Ternera,5,29335.0,19.0,34909.0
17,Salmón salvaje,5,11878.0,19.0,14135.0
18,Patas de cangrejo,1,29951.0,19.0,35642.0
